index,North,South,West,East,ND,SD,WD,ED
1,,2,7,,,3,3,
2,1,,8,,3,,3,
3,,,9,,,,3,
4,,5,10,,,3,3,
5,4,,,,3,,,
6,,,12,,,,3,
7,,,,1,,,,3
8,,9,14,2,,3,3,3
9,8,10,,3,3,3,,3
10,9,11,,4,3,3,,3
11,10,,17,,3,,3,
12,,,18,6,,,3,3
13,,14,19,,,3,3,
14,13,,20,8,3,,3,3
15,,,21,,,,3,
16,,17,,,,3,,
17,16,,23,11,3,,3,3
18,,,24,12,,,3,3
19,,,25,13,,,3,3
20,,21,,14,,3,,3
21,20,22,,15,3,3,,3
22,21,23,,,3,3,,
23,22,24,,17,3,3,,3
24,23,,30,18,3,,3,3
25,,26,,19,,3,,3
26,25,,32,,3,,3,
27,,,33,,,,3,
28,,29,,,,3,,
29,28,,35,,3,,3,
30,,,36,24,,,3,3
31,,32,,,,3,,
32,31,33,38,26,3,3,3,3
33,32,,,27,3,,,3
34,,35,,,,3,,
35,34,36,,29,3,3,,3
36,35,,42,30,3,,3,3
37,,38,,,,3,,
38,37,39,44,32,3,3,3,3
39,38,,45,,3,,3,
40,,41,46,,,3,3,
41,40,42,,,3,3,,
42,41,,,36,3,,,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,39,3,3,,3
46,45,47,,40,3,3,,3
47,46,48,,,3,3,,
48,47,,,,3,,,
